NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC AEROTEK AUTOMOTIVE SRL,"BUCURESTI,B-dul. Timisoara 104 B,jud.BUCURESTI","BUCURESTI,B-dul. Timisoara, Biroul A1 104 B,jud.BUCURESTI",4821,5077,B0887,752577177,25-MAR-25-24-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
GNX AUTOSERVICE & CAR WASH S.R.L.,"LOC. EFORIE SUD, ORAS EFORIE,REPUBLICII 60,jud.CONSTANTA","LOC. EFORIE SUD, ORAS EFORIE,PROF. DR. ION CANTACUZINO, CAMERA 7 2,jud.CONSTANTA",4869,5126,CT188,799689675,21-MAY-25-20-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
EMG AUTOCHECK S.R.L.,"PITESTI,STR. DEPOZITELOR 38-38G,jud.ARGES","PITESTI,B-dul NICOLAE BALCESCU, BL. B2, SC. A, ET. 6 157B,jud.ARGES",4952,5208,AG150,724530210,01-SEP-25-31-AUG-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
AUTOGENERAL CARGO SRL,"BUCURESTI,Str. Dambovnicului 34,jud.BUCURESTI","BUCURESTI,Str. Dambovnicului 34,Sala 2B,jud.BUCURESTI",4967,5223,B0910,213174141,11-SEP-25-10-SEP-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC 23 GARAGE PARTS & REPAIR SRL,"ORAVITA,Str. Brosteniului 10,jud.CARAS-SEVERIN","ORAVITA,Str. Primaverii 5,jud.CARAS-SEVERIN",4422,4683,CS060,,01-FEB-25-31-JAN-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SERVICE OPRESCU 4 YOU,"sat MICESTI,comuna Micesti, HALA 1 74C,jud.ARGES","sat Micesti,comuna Micesti, HALA 1, 74C,jud.ARGES",4449,4711,AG135,73368913,05-MAR-24-28-DEC-25,1;2;3,Autovehicule echipate cu instalate GNC;Mopede cu 2 rot; motociclete fara atas,Se efectueaza verificari ale eficacitati sistemului de franare prin probe functonale in parcurs numai la tractoare
SERVICE OPRESCU 4 YOU,"sat MICESTI,comuna Micesti, HALA 1 74C,jud.ARGES","sat Micesti,comuna Micesti, HALA 1, 74C,jud.ARGES",4449,4711,AG135,73368913,29-DEC-23-28-DEC-25,2;3,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC M4AD COM IMPEX SRL,"CALAFAT,Strada CONSTANTIN STERE 37A,jud.DOLJ","COMUNA POIANA MARE,sat. Poiana Mare, str.Targului -,jud.DOLJ",4460,4722,DJ160,,18-JAN-24-17-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC CORLAN SERVICE SRL,"TIMISOARA,Str. Ovidiu Cotrus, Hala III 21,jud.TIMIS","COM. GOTTLOB,SAT GOTTLOB 50, cam 2,jud.TIMIS",4462,4725,TM163,745340930,23-JAN-24-22-JAN-26,1;2;3,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Mopede cu 2 rot; motociclete fara atas;Tractoare,
SC PACMADEDIVERSITY SRL,"DRAGUTESTI,Str. Principala 27,jud.GORJ","TARGU JIU,Str. Romanesti 130B,jud.GORJ",4465,4726,GJ068,738194380,15-APR-25-25-JAN-26,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC PACMADEDIVERSITY SRL,"DRAGUTESTI,Str. Principala 27,jud.GORJ","TARGU JIU,Str. Romanesti 130B,jud.GORJ",4465,4726,GJ068,738194380,26-JAN-24-25-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MONDO AUTO SOTIRESCU IUNES SRL,"BUCURESTI,Str. Sfanta Maria 50,jud.BUCURESTI","BUCURESTI,Str. Sfanta Maria 50,jud.BUCURESTI",4471,4733,B0829,724207620,05-FEB-24-04-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO ITP OZANA SRL,"BUCURESTI,Str. Fetesti 46E-48,jud.BUCURESTI","BUCURESTI,Str. Fetesti 46E-48,jud.BUCURESTI",4594,4858,B0852,727305304,26-JUN-24-25-JUN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TURCHI GARAGE SRL,"SAT SCOBINTI, COM. SCOBINTI, VOL 8, FILA 396,- -,jud.IASI","SAT SCOBINTI, COM. SCOBINTI, VOL 8, FILA 396,- -,jud.IASI",4635,4894,IS136,,02-AUG-24-01-AUG-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
AUTORAR CAR INSPECTION SRL,"MATCA,STR. STEFAN CEL MARE 504,jud.GALATI","MATCA,STR. STEFAN CEL MARE 504,jud.GALATI",4728,4990,GL110,747864726,28-NOV-24-27-NOV-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
VOLTEST ITP SRL,"VOLUNTARI,BD. EROILOR, suprafaţa de 157,36 mp 4,jud.ILFOV","BUCURESTI,STR. TIMISOARA, PARTER, Bl. E, scara A, Apartament 4 27,jud.ILFOV",4760,5021,B0877,722576831,21-MAR-25-07-JAN-27,2;3,"Autobuze articulate;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
VOLTEST ITP SRL,"VOLUNTARI,BD. EROILOR, suprafaţa de 157,36 mp 4,jud.ILFOV","BUCURESTI,STR. TIMISOARA, PARTER, Bl. E, scara A, Apartament 4 27,jud.ILFOV",4760,5021,B0877,722576831,08-JAN-25-07-JAN-27,2;3,"Autobuze articulate;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTODOM ITP SERVICES SRL,"DOMNESTI,Sos. Curtea Domneasca 52,jud.ILFOV","DOMNESTI,Sos. Curtea Domneasca 52,jud.ILFOV",4802,5061,B0884,722582804,06-MAR-25-05-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC URGENT I.T.P. BERCENI SRL,"BUCURESTI,Str. Sergent Niţu Vasile 55,jud.BUCURESTI","BUCURESTI,Str. Soldat Tudor Ion, Mansarda 65,jud.BUCURESTI",4803,5064,B0885,741183402,07-MAR-25-06-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO RIMARU NICOLAE SRL,"CORABIA, ORAS CORABIA,STEFAN CEL MARE 2D,jud.OLT","COM. IZBICENI, SAT IZBICENI,STR. STRATAN ION 18,jud.OLT",4890,5147,OT072,,12-AUG-25-16-JUN-27,1;2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,
SC AUTO RIMARU NICOLAE SRL,"CORABIA, ORAS CORABIA,STEFAN CEL MARE 2D,jud.OLT","COM. IZBICENI, SAT IZBICENI,STR. STRATAN ION 18,jud.OLT",4890,5147,OT072,,17-JUN-25-16-JUN-27,1;2;3,"Autobuze articulate;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule echipate cu instalate GNC;Tractoare","Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC MICHELINI PREST SRL,"RESITA,STR. TIMISOAREI 15 A,jud.CARAS-SEVERIN","CARANSEBES,Calea Severinului 239,jud.CARAS-SEVERIN",4923,5180,CS065,752098800,29-JUL-25-28-JUL-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO SAM SRL,"ALEXANDRIA,STRADA VIILOR 15,jud.TELEORMAN","VIDELE,Str. Florilor 32,jud.TELEORMAN",4308,4571,TR067,787533369,09-JUN-25-08-JUN-27,1;2;3,Autovehicule echipate cu instalate GNC;Mopede cu 2 rot; motociclete fara atas,
SC DAR-TUD AUTO SRL,"COMANESTI,STR. COMBINATULUI 20,jud.BACAU","COMANESTI,STR. PARCULUI 42,jud.BACAU",4312,4575,BC108,,12-JUN-25-11-JUN-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
AUTOSAFETY ITP SRL,"BALS,STRADA GHEORGHE VASILESCU 34A,jud.OLT","BALS,STRADA GHEORGHE VASILESCU 34A,jud.OLT",4313,4576,OT065,,14-JUN-25-13-JUN-27,2,Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ITP CARMOTO SRL,"CORBEANCA,Sos. Unirii 325,Parter,jud.ILFOV","CORBEANCA,Sos. Unirii 325,Parter,jud.ILFOV",4324,4590,B0806,722260725,06-JUL-25-05-JUL-27,1;2,Autovehicule echipate cu instalate GNC;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor tractate prin probe functonale in parcurs
SC KOS INVEST SERV IC SRL,"SAT ION CORVIN,STR. SF. AP. ANDREI 16,jud.CONSTANTA","SAT ION CORVIN,STR. SF. AP. ANDREI 16,jud.CONSTANTA",4337,4599,CT172,757618506,14-JUL-25-13-JUL-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TOP AUTO ITP SRL,"BUCURESTI,Str. Carlibaba 28, Parter,jud.BUCURESTI","BUCURESTI,Str. Carlibaba 28, Parter,jud.BUCURESTI",4455,4717,B0824,784003603,15-JAN-24-14-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VONTRANS IMPEX SRL,"SEBES,Str. Augustin Bene 116,jud.ALBA","SEBES,Str. Augustin Bena 116,jud.ALBA",4474,4736,AB097,752822534,07-FEB-24-06-FEB-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC UNIC MON-SOR SRL,"CHIAJNA,SOS. DE CENTURA 43,jud.ILFOV","CHIAJNA,SOS. DE CENTURA 43,birou 1,jud.ILFOV",4552,4815,B0843,732912800,29-APR-24-28-APR-26,1;2;3,Mopede cu 2 rot; motociclete fara atas,
SC CRISDUL SERVICE ITP SRL,"COM. CALARASI, SAT CALARASI,Str. Petre Baniţa 240,jud.DOLJ","DABULENI,Str. Panait Istrati 10A,jud.DOLJ",4809,5067,DJ175,744187556,14-MAR-25-13-MAR-27,1;2,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC AMD AUTOBAD SRL,"URZICENI,Sos. Bucuresti-Buzau Km. 57,5,jud.IALOMITA","URZICENI,SOS. BUCURESTI-BUZAU KM. 57,5,jud.IALOMITA",4825,5089,IL060,,07-APR-25-06-APR-27,2;3,Autobuze articulate;Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC,Nu se efectueaza verificari ale eficacitati sistemului de franare al autovehiculelor prin probe functonale in parcurs
SC PARKACT AUTOMOTIVE SRL,"CLUJ-NAPOCA,Str. Traian Vuia 259,jud.CLUJ","CLUJ-NAPOCA,Str. Traian Vuia 259,jud.CLUJ",4861,5118,CJ230,744551724,06-AUG-25-08-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC PARKACT AUTOMOTIVE SRL,"CLUJ-NAPOCA,Str. Traian Vuia 259,jud.CLUJ","CLUJ-NAPOCA,Str. Traian Vuia 259,jud.CLUJ",4861,5118,CJ230,744551724,09-MAY-25-08-MAY-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
D.V.R. INVEST SRL,"BRASOV,B-dul Griviţei, Corp 4 A96,jud.BRASOV","Mun. Brasov,Str. Lunga, Ap. 4 68,jud.BRASOV",4901,5156,BV165,752132525,12-AUG-25-31-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
D.V.R. INVEST SRL,"BRASOV,B-dul Griviţei, Corp 4 A96,jud.BRASOV","Mun. Brasov,Str. Lunga, Ap. 4 68,jud.BRASOV",4901,5156,BV165,752132525,02-JUL-25-31-DEC-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
FLORIDA COMIMEX SRL,"ORADEA,Str. SANTAULUI 15/B,jud.BIHOR","ORADEA,Str. MATEI CORVIN 197,jud.BIHOR",4956,5213,BH154,727783826,03-SEP-25-02-SEP-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC BRIANNA & FLORY SRL,"RAMNICU SARAT,B-dul. Balta Alba 25,jud.BUZAU","RAMNICU SARAT,B-DUL BALTA ALBA NR.25,jud.BUZAU",4351,4617,BZ082,723.123398,10-AUG-25-09-AUG-27,2;3,Autobuze articulate;Autovehicule echipate cu instalate GNC,
SC DYSAB CONSULTING SRL,"BEREZENI,Str. Principala 179,jud.VASLUI","COM. FALCIU,SAT FALCIU F.N.,jud.VASLUI",4354,4614,VS068,766210877,12-AUG-25-11-AUG-27,2;3,Autovehicule echipate cu instalate GNC,
KPUSHOR SRL,"VASLUI,strada CALUGARENI, magazie 193 mp 133,jud.VASLUI","VASLUI,strada CALUGARENI 185 B,jud.VASLUI",4355,4613,VS069,741509095,11-AUG-25-10-AUG-27,1;2,Autovehicule echipate cu instalate GNC;Tractoare,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC ADY MAR TRANSPORTE SRL,"BARCANESTI,Str. Stadionului 1,jud.IALOMITA","BARCANESTI,Str. Stadionului 1,jud.IALOMITA",4426,4689,IL058,766295235,27-NOV-23-26-NOV-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC CAR SERVICE DROBETA SRL,"DROBETA-TURNU SEVERIN,Str. Nicolae Iorga 9,jud.MEHEDINTI","DROBETA-TURNU SEVERIN,Str. Nicolae Iorga 9,jud.MEHEDINTI",4427,4688,MH059,723325233,25-APR-24-26-NOV-25,1;2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC,
SC CAR SERVICE DROBETA SRL,"DROBETA-TURNU SEVERIN,Str. Nicolae Iorga 9,jud.MEHEDINTI","DROBETA-TURNU SEVERIN,Str. Nicolae Iorga 9,jud.MEHEDINTI",4427,4688,MH059,723325233,27-NOV-23-26-NOV-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC,
SC AUTO WIS SERVICES SRL,"DEVA,Calea Zarandului 33A,jud.HUNEDOARA","SIMERIA,Str. Ion Creanga 20,jud.HUNEDOARA",4428,4690,HD090,722927501,27-NOV-23-26-NOV-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTO WIS SERVICES SRL,"DEVA,Calea Zarandului 33A,jud.HUNEDOARA","SIMERIA,Str. Ion Creanga 20,jud.HUNEDOARA",4428,4690,HD090,722927501,01-APR-24-26-NOV-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC DUVENBECK LOGISTIK SRL,"PECICA,Str. 601 74,jud.ARAD","CRISTIAN,Aleea Duvenbeck 1,jud.ARAD",4440,4701,AR090,268.5078,11-DEC-23-10-DEC-25,2;3,Autobuze articulate;Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu MAS;Autovehicule echipate cu MASKAT;Autovehicule echipate cu instalate GPL sau GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
ALEXPABO SERVICE SRL,"Sat 1 DECEMBRIE,Strada Giurgiului, Comuna 1 Decembrie, Hala nr.1 25-27,jud.ILFOV","Sat 1 Decembrie,Strada GIURGIULUI, Comuna 1 Decembrie, Hala nr.1 25-27,jud.ILFOV",4554,4816,B0844,722352435,30-APR-24-29-APR-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ILIE AUTO TEST SRL,"BUZAU,DN2 KM 112+625 ITP -,jud.BUZAU","SAT COCONARI, COM. POSTA CILNAU,STR. UNIRII C 16,jud.BUZAU",4613,4875,BZ089,,10-JUL-24-09-JUL-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC ITP ZAVOI SRL,"RAMNICU VALCEA,Str. Stirbei Voda 87, Cam O,jud.VALCEA","RAMNICU VALCEA,Str. Stirbei Voda 87, Cam O,jud.VALCEA",4683,4943,VL095,724436335,04-OCT-24-03-OCT-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOLEX PROFESSIONAL SRL,"SANTANDREI,Str. 1 Mai 9,jud.BIHOR","SANTANDREI,Str. 1 Mai 9,jud.BIHOR",4878,5136,BH148,741332030,04-JUN-25-03-JUN-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SIMPLY THE BEST TEI SRL,"BUCURESTI,Str. Gheorghe Tiţeica 85-87,jud.BUCURESTI","BUCURESTI,Str. Grigore C. Moisil, Bloc 9, Scara B, Ap. 61 8,jud.BUCURESTI",4968,5225,B0911,721283600,17-SEP-25-16-SEP-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AUTOCLASS SUD SERVICII SRL,"BUCURESTI,Sos. Olteniţei 105 parter,jud.BUCURESTI","BUCURESTI,Str. Covasna, Bloc F 13, Ap. 19, Cam. 1 8,jud.BUCURESTI",4435,4700,B0818,756052992,07-DEC-23-06-DEC-25,1;2,Autovehicule echipate cu instalate GNC;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor tractate prin probe functonale in parcurs
SC AUTOCONTROL-SERV SRL,"SAT LIPIA, COM. GRUIU,SOS. LIPIA-NUCI 17,jud.ILFOV","SAT LIPIA, COM. GRUIU,SOS. LIPIA-NUCI 17,jud.ILFOV",4445,4706,B0821,,14-DEC-23-13-DEC-25,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC RTD SERVICE SRL,"ROSIORII DE VEDE,Bd. SFANTA VINERI 41A,jud.TELEORMAN","ROSIORI DE VEDE,B-DUL SFANTA VINERI 41 A,jud.TELEORMAN",4495,4757,TR070,767925533,02-FEB-25-25-FEB-26,1;2;3,Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,"Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs;Nu se efectueaza verificari ale eficacitati sistemului de franare la mopede cu 3 rot, motociclete cu atas, mototricicluri si cvadricicluri prin probe functonale in parcurs"
SC GENERAL INVEST SERVICE SRL,"CERNAVODA,Str. Seimeni 79A,jud.CONSTANTA","CERNAVODA,Str. Medgidiei, Bloc H2, Ap. 36 28,jud.CONSTANTA",4557,4819,CT178,720941375,17-MAR-25-07-MAY-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
