NUME_SOCIETATE,ADRESA_SITP,ADRESA_SEDIU,SITPID,NUMAR_AUTORIZATIE,COD_STATIE,PERSOANA_CONTACT,VALABILITATE_AUTORIZATIE,CLASA,INTERDICTII,OBSERVATII
SC DANLUC AUTO SRL,"BUCURESTI,SOS. ODAI 511-513,jud.BUCURESTI","BUCURESTI,Sos. Odai 511-513,jud.BUCURESTI",6,1051,B0138,311032820,30-JUL-25-29-JUL-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC TAXI GLUCOZA SA,"BUCURESTI,STR. GHEORGHE TITEICA 85-87,jud.BUCURESTI","BUCURESTI,STR. GHEORGHE TITEICA 85-87,jud.BUCURESTI",48,207,B0046,21.2422607,02-FEB-25-01-FEB-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC NESTY AUTO SERVICE SRL,"BUCURESTI,SOS. BERCENI 80A,jud.BUCURESTI","BUCURESTI,SOS. BERCENI 80,jud.BUCURESTI",51,285,B0049,21.4608257,01-APR-25-24-MAR-27,2,Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC NESTY AUTO SERVICE SRL,"BUCURESTI,SOS. BERCENI 80A,jud.BUCURESTI","BUCURESTI,SOS. BERCENI 80,jud.BUCURESTI",51,285,B0049,21.4608257,25-MAR-25-24-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
PARLAMENTUL ROMANIEI - CAMERA DEPUTATILOR,"BUCURESTI,STR. IZVOR 2-4,jud.BUCURESTI","BUCURESTI,STR. IZVOR 2-4,jud.BUCURESTI",74,713,B0101,,18-DEC-23-17-DEC-25,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GPL sau GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC AVIA MOTORS SRL,"PANTELIMON,BD. BIRUINTEI 41, fost13,jud.ILFOV","BUCURESTI,SOS. DOBROESTI, BL. 4, ET. 10, AP. 29, CAM 13-16 7,jud.ILFOV",76,1004,B0128,21.209401,28-SEP-24-01-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC JHOPY IMPEX SRL,"BUCURESTI,STR. SERBAN VODA 231B,jud.BUCURESTI","BUCURESTI,Calea Serban Voda 231B,jud.BUCURESTI",78,734,B0104,721.338468,29-JAN-24-28-JAN-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SOCIETATEA COOPERATIVA MESTESUGAREASCA AUTOMECANICA SCM,"BUCURESTI,STR RITMULUI 8,jud.BUCURESTI","BUCURESTI,STR. FAINARI, PARTER, BL. 50 26,jud.BUCURESTI",116,1155,B0150,21.2528,21-MAY-24-20-MAY-26,2,Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC GERMAN TOP TRADING SRL,"BUCURESTI,BD. THEODOR PALLADY 42B,jud.BUCURESTI","BUCURESTI,BD. THEODOR PALLADY 42B,jud.BUCURESTI",129,1223,B0164,21.3456131,02-OCT-24-01-OCT-26,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC VALMON SERVICE SRL,"1 DECEMBRIE,STR. LIVIU REBREANU 2K,jud.ILFOV","1 DECEMBRIE,STR. LIVIU REBREANU 2K,jud.ILFOV",132,1258,B0168,,20-MAR-25-19-MAR-27,2,Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule echipate cu instalate GNC;Tractoare;Vehicule tractate,Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MOBIL SERV SRL,"OCNA MURES,STR. MIHAI EMINESCU 18,jud.ALBA","OCNA MURES,STR. HOREA 11,jud.ALBA",322,931,AB017,258.870194,04-JUL-25-03-JUL-27,2;3,"Autobuze articulate;Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categ. N2 (cu excepta celor cu MTMA sub 7,5 To la care nu este posibila montarea corespunzatoare a unei oglinzi de cls. V) si N3 fabricate dupa 01.01.2000 la care nu se prezinta Certificatul de Conformitate care atesta indeplinirea prevederilor Dir. 2003-97-CE ref. la campul de vizibilitate sau nu exista marca de omologare pe suportul oglinzilor (conf. RNTR-1, Anexa 3);Autovehicule echipate cu instalate GNC;Autovehicule echipate cu tractune integrala permanenta",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
SC MANOLO AUTO ZOB SRL,"CURTEA DE ARGES,STR. ALBESTI 10,jud.ARGES","CURTEA DE ARGES,STR. ELENA CUZA, Bl. A14, Ap. 17 -,jud.ARGES",147,1001,AG037,722.412438,13-DEC-24-12-DEC-26,1;2;3,Autovehicule echipate cu instalate GNC,
SC IATSA DACIA CIMPULUNG SA,"SAT VOINESTI, COM LERESTI,STR. GENERAL VASILE MILEA 592,jud.ARGES","SAT VOINESTI, COM LERESTI,STR. GENERAL VASILE MILEA 592,jud.ARGES",151,41,AG004,248.53191,20-JAN-25-19-JAN-27,2,"Autovehicule care nu sunt echipate cu dispozitiv de amplificare a efortului de apasare la pedala de frana;Autovehicule din categoriile M1 si N1 inmatriculate pentru prima data incepand cu anul 2021 si care la punctul V.9 din CIV au consemnat indicativele AP, AQ sau AR;Autovehicule echipate cu instalate GNC;Remorci cu sistem de franare inertal;Tractoare",Nu se efectueaza verificari ale eficacitati sistemului de franare al vehiculelor prin probe functonale in parcurs
